zone,pixel_id,universe,channel,cat_x,cat_y,cat_z,x_norm,y_norm,z_norm
main-arch,97,39,292,-12.3100,9.1119,1.3949,0.0000,0.4907,0.6022
main-arch,98,39,295,-12.3100,9.1792,1.3248,0.0000,0.4943,0.5981
main-arch,99,39,298,-12.3100,9.2430,1.2515,0.0000,0.4978,0.5938
main-arch,100,39,301,-12.3100,9.3061,1.1776,0.0000,0.5012,0.5895
main-arch,101,39,304,-12.3100,9.3672,1.1021,0.0000,0.5045,0.5851
main-arch,102,39,307,-12.3100,9.4280,1.0263,0.0000,0.5078,0.5807
main-arch,103,39,310,-12.3100,9.4868,0.9489,0.0000,0.5110,0.5762
main-arch,104,39,313,-12.3100,9.5453,0.8714,0.0000,0.5142,0.5717
main-arch,105,39,316,-12.3100,9.6017,0.7923,0.0000,0.5172,0.5671
main-arch,106,39,319,-12.3100,9.6579,0.7130,0.0000,0.5203,0.5625
main-arch,107,39,322,-12.3100,9.7120,0.6323,0.0000,0.5232,0.5578
main-arch,108,39,325,-12.3100,9.7659,0.5514,0.0000,0.5261,0.5531
main-arch,109,39,328,-12.3100,9.8219,0.4721,0.0000,0.5292,0.5485
main-arch,110,39,331,-12.3100,9.8783,0.3930,0.0000,0.5322,0.5439
main-arch,111,39,334,-12.3100,9.9096,0.3159,0.0000,0.5339,0.5394
main-arch,112,39,337,-12.3100,9.9608,0.2333,0.0000,0.5367,0.5346
main-arch,113,39,340,-12.3100,9.9965,0.1582,0.0000,0.5386,0.5302
main-arch,114,39,343,-12.3100,10.0549,0.0806,0.0000,0.5418,0.5257
main-arch,115,39,346,-12.3100,10.0834,0.0035,0.0000,0.5434,0.5212
main-arch,116,39,349,-12.3100,10.1314,-0.0810,0.0000,0.5460,0.5163
main-arch,117,39,352,-12.3100,10.1749,-0.1678,0.0000,0.5483,0.5113
main-arch,118,39,355,-12.3100,10.2179,-0.2550,0.0000,0.5506,0.5062
main-arch,119,39,358,-12.3100,10.2598,-0.3426,0.0000,0.5529,0.5011
main-arch,120,39,361,-12.3100,10.2605,-0.4310,0.0000,0.5530,0.4960
main-arch,121,39,364,-12.3100,10.2181,-0.5184,0.0000,0.5507,0.4909
main-arch,122,39,367,-12.3100,10.1749,-0.6054,0.0000,0.5483,0.4858
main-arch,123,39,370,-12.3100,10.1314,-0.6923,0.0000,0.5460,0.4808
main-arch,124,39,373,-12.3100,10.0834,-0.7768,0.0000,0.5434,0.4759
main-arch,125,39,376,-12.3100,10.0549,-0.8538,0.0000,0.5418,0.4714
main-arch,126,39,379,-12.3100,9.9965,-0.9315,0.0000,0.5386,0.4669
main-arch,127,39,382,-12.3100,9.9608,-1.0066,0.0000,0.5367,0.4625
main-arch,128,39,385,-12.3100,9.9096,-1.0892,0.0000,0.5339,0.4577
main-arch,129,39,388,-12.3100,9.8783,-1.1663,0.0000,0.5322,0.4532
main-arch,130,39,391,-12.3100,9.8219,-1.2454,0.0000,0.5292,0.4486
main-arch,131,39,394,-12.3100,9.7659,-1.3247,0.0000,0.5261,0.4440
main-arch,132,39,397,-12.3100,9.7120,-1.4056,0.0000,0.5232,0.4393
main-arch,133,39,400,-12.3100,9.6579,-1.4863,0.0000,0.5203,0.4346
main-arch,134,39,403,-12.3100,9.6017,-1.5655,0.0000,0.5172,0.4300
main-arch,135,39,406,-12.3100,9.5453,-1.6446,0.0000,0.5142,0.4254
main-arch,136,39,409,-12.3100,9.4867,-1.7222,0.0000,0.5110,0.4209
main-arch,137,39,412,-12.3100,9.4280,-1.7996,0.0000,0.5078,0.4164
main-arch,138,39,415,-12.3100,9.3672,-1.8754,0.0000,0.5045,0.4120
main-arch,139,39,418,-12.3100,9.3061,-1.9509,0.0000,0.5012,0.4076
main-arch,140,39,421,-12.3100,9.2430,-2.0248,0.0000,0.4978,0.4033
main-arch,141,39,424,-12.3100,9.1792,-2.0981,0.0000,0.4943,0.3990
main-arch,142,39,427,-12.3100,9.1119,-2.1681,0.0000,0.4907,0.3949
main-arch,143,39,430,-12.3100,9.0667,-2.2375,0.0000,0.4882,0.3909
main-arch,144,39,433,-12.3100,8.9937,-2.3018,0.0000,0.4843,0.3872
main-arch,145,39,436,-12.3100,8.9338,-2.3664,0.0000,0.4810,0.3834
